countyName,metro,pop-1998,pop-2001,pop-2004,pop-2007,pop-2010,collOrByond-1998,collOrByond-2001,collOrByond-2004,collOrByond-2007,collOrByond-2010,collOrByond,rank
Murray County,,352,319,294,161,124,82.78836132,85.25054275,88.5226263,94.72811671,91.38342278,88.53461397,2
Nicollet County,MankatoNorthMankatoMN,468,415,435,434,292,78.95541787,81.02453102,85.50343965,80.25764558,86.10780142,82.36976711,46
Nobles County,,660,663,687,650,608,78.59061758,81.635175,82.40973693,83.24027819,86.36431007,82.44802355,44
Norman County,,264,258,252,235,221,75.85794229,80.38127561,84.21274456,85.70906433,83.1981982,81.871845,52
Olmsted County,RochesterMN,3296,3661,2931,3844,3291,84.48983118,87.06115583,89.44200574,87.9844301,90.40211896,87.87590836,5
Otter Tail County,,1216,1111,1401,1488,1049,74.008243,78.16616069,81.28516806,85.03710663,86.63492064,81.0263198,62
Pennington County,,405,356,444,438,374,79.19241976,84.41872085,87.60868919,88.26065892,89.33687003,85.76347175,13
Pine County,,817,806,745,571,719,73.42609101,75.77096619,77.17373615,82.98796791,83.15882732,78.50351772,80
Pipestone County,,363,332,314,321,224,78.29627859,80.12536542,79.50965332,83.26210827,88.35943468,81.91056806,50
Polk County,GrandForksNDMN,1105,1072,766,811,948,81.51332045,82.31186672,83.8431371,86.04983661,84.43305446,83.63024307,33
Pope County,,371,392,337,247,223,79.43508985,81.88809414,85.83056976,88.55606759,88.63798009,84.86956028,20
Ramsey County,MinneapolisStPaulBloomingtonMNWI,12244,12382,12546,11766,11572,82.45641391,85.39530962,87.36771185,88.31706962,89.67259152,86.6418193,7
Red Lake County,,220,172,154,144,132,81.89357253,85.3422619,80.98565091,79.8992674,85.13862025,82.6518746,41
Redwood County,,513,661,434,414,385,74.88351981,79.34202256,83.58458421,84.35621726,85.78276949,81.58982266,55
Renville County,,571,498,350,303,349,80.73991952,83.77160208,88.41479701,85.16791045,88.12541146,85.2439281,17
Rice County,,1479,1357,1180,1425,1329,79.20523809,83.20865549,84.98027703,87.35515259,88.37349398,84.62456344,23
Rock County,,281,256,251,216,234,74.84060881,83.25916508,79.80321794,81.02088662,84.33913366,80.65260242,64
Roseau County,,758,758,709,675,631,79.53764722,84.09463229,85.4869623,84.88142293,84.82677453,83.76548785,28
Scott County,MinneapolisStPaulBloomingtonMNWI,1931,2051,2672,2839,3753,78.77770889,81.90318419,83.32280649,86.50437401,88.12108262,83.72583124,31
Sherburne County,MinneapolisStPaulBloomingtonMNWI,1706,2254,2566,2986,3273,76.45475875,79.72474199,84.23089038,85.92536689,89.89886008,83.24692362,38
Sibley County,MinneapolisStPaulBloomingtonMNWI,517,502,483,416,381,72.3215259,80.26602535,79.72456249,86.91810345,82.15945219,80.27793387,71
St. Louis County,DuluthMNWI,4844,5147,4217,4161,4077,81.60247362,85.00495685,87.78942045,87.99790116,89.2447654,86.3279035,9
Stearns County,StCloudMN,5090,4441,3824,3958,2824,76.5066023,80.56291457,82.38685108,84.30309916,85.35471318,81.82283606,53
Steele County,,1052,1219,1222,1232,1140,,80.09909339,84.13752804,83.90489642,88.90558599,84.26177596,25
Stevens County,,17,240,241,218,197,,82.05636956,83.44827586,82.23684211,93.4375,85.29474688,16
Swift County,,351,314,148,312,289,77.90102568,85.10964912,78.12587412,82.47787611,80.15482055,80.75384912,63
Todd County,,815,902,813,772,697,73.22743942,79.00157792,79.86794718,82.64063553,87.45283019,80.43808605,68
Traverse County,,138,142,124,118,105,79.69971001,86.43127083,86.95736434,87.5331565,84.3495935,84.99421904,19
Wabasha County,RochesterMN,842,847,863,902,893,73.07056741,78.39528828,83.04629112,79.08644204,87.33197653,80.18611308,72
Wadena County,,534,592,606,537,450,73.84761784,76.31441475,79.24333602,82.40104841,84.85915493,79.33311439,77
Waseca County,,869,775,570,597,441,75.78425369,81.02882058,82.10635383,83.20824018,87.60991207,81.94751607,49
Washington County,MinneapolisStPaulBloomingtonMNWI,5944,5607,6068,6703,6551,84.74147364,86.56979646,88.0820784,89.79356647,93.03266986,88.44391697,3
Watonwan County,,475,390,421,378,363,76.05530623,77.42362021,81.80489101,79.78014185,79.1005291,78.83289768,79
Wilkin County,,297,290,296,262,215,81.9108964,84.73307699,82.61982571,89.38106796,88.54800937,85.43857528,15
Winona County,,1190,1192,539,1130,1014,76.80908882,80.06410601,84.12286072,81.39952154,83.97121862,81.27335914,61
Wright County,MinneapolisStPaulBloomingtonMNWI,3240,2175,2656,2518,2916,74.83426759,81.80711009,82.84211315,84.66636564,88.12257,82.45448529,43
Yellow Medicine County,,296,438,394,363,314,77.84503007,80.04408008,81.43263646,81.4764268,88.69479734,81.89859415,51
Statewide,,28125,28996,28168,27733,28604,78.41103667,82.23922317,83.72854166,85.46626948,86.85057011,,
