countyName,metro,pop-1998,pop-2001,pop-2004,pop-2007,pop-2010,pop-1998-Grade6,pop-1998-Grade9,pop-1998-Grade12,pop-2001-Grade6,pop-2001-Grade9,pop-2001-Grade12,pop-2004-Grade6,pop-2004-Grade9,pop-2004-Grade12,pop-2007-Grade6,pop-2007-Grade9,pop-2007-Grade12,pop-2010-Grade6,pop-2010-Grade9,pop-2010-Grade12,collOrByond-1998-Grade6,collOrByond-1998-Grade9,collOrByond-1998-Grade12,collOrByond-2001-Grade6,collOrByond-2001-Grade9,collOrByond-2001-Grade12,collOrByond-2004-Grade6,collOrByond-2004-Grade9,collOrByond-2004-Grade12,collOrByond-2007-Grade6,collOrByond-2007-Grade9,collOrByond-2007-Grade12,collOrByond-2010-Grade6,collOrByond-2010-Grade9,collOrByond-2010-Grade12
Douglas County,,861,979,925,846,846,319,345,197,354,363,262,294,362,269,298,315,233,296,316,234,89.1025641,78.65497076,71.64948454,89.42857143,82.82548476,73.28244275,90.94076655,86.62952646,86.46616541,--,90,89.65517241,--,90.99678457,89.51965066
Faribault County,,578,486,491,431,135,180,203,195,159,182,145,163,176,152,143,158,130,50,53,32,84.44444444,73.26732673,68.39378238,84.7133758,78.57142857,75,91.7721519,80.68181818,74,--,84.7133758,76.74418605,--,80.39215686,75
Fillmore County,RochesterMN,697,548,422,474,430,223,256,218,191,182,175,148,155,119,182,172,120,167,122,141,86.75799087,77.734375,74.19354839,88.94736842,80.11049724,70,86.98630137,80.92105263,83.19327731,--,83.92857143,76.47058824,--,90.08264463,78.51851852
Freeborn County,,984,892,902,842,639,351,379,254,354,295,243,316,357,229,261,345,236,242,215,182,83.57348703,76,73.12252964,89.59537572,79.59183673,76.56903766,88.10289389,80.73654391,82.37885463,--,84.83965015,77.92207792,--,87.73584906,88.39779006
Goodhue County,,1594,1116,1294,1234,963,573,563,458,395,436,285,469,492,333,464,470,300,441,231,291,86.14564831,77.36185383,69.01098901,88.54961832,82.40740741,78.59649123,87.25701944,79.79381443,78.61445783,--,88.00856531,84.3537415,--,89.13043478,84.9122807
Grant County,,183,280,203,186,144,108,45,30,78,101,101,61,76,66,56,69,61,45,45,54,86.79245283,81.81818182,66.66666667,85.8974359,87,74.74747475,95.08196721,81.57894737,80.3030303,--,95.65217391,75.40983607,--,95.55555556,85.18518519
Hennepin County,MinneapolisStPaulBloomingtonMNWI,22070,22411,23007,23972,23937,9398,7944,4728,9416,8036,4959,8795,8609,5603,8953,8886,6133,8383,8466,7088,90.12735387,85.77619169,82.81016442,91.35815872,88.30563948,85.1007531,92.50639981,88.16811867,87.50677018,--,90.80853005,89.45203225,--,92.83489097,91.71530249
Houston County,LaCrosseOnalaskaWIMN,483,682,661,581,554,98,223,162,200,290,192,202,235,224,175,225,181,146,218,190,87.36842105,77.92792793,62.73291925,88.3248731,87.15277778,76.71957672,88,77.77777778,81.16591928,--,87.33031674,84.3575419,--,95.39170507,84.65608466
Hubbard County,,465,430,500,475,400,154,185,126,179,146,105,162,204,134,177,161,137,133,159,108,76.47058824,69.72972973,62.4,89.77272727,80.82191781,76.69902913,83.33333333,76.73267327,69.6969697,--,82.91139241,76.2962963,--,82.38993711,84.76190476
Isanti County,MinneapolisStPaulBloomingtonMNWI,1103,961,1057,999,851,439,404,260,376,384,201,383,395,279,379,388,232,357,322,172,78.92271663,71.32169576,72.86821705,80.71625344,74.21052632,74,82.75862069,76.72634271,71.11913357,--,83.67875648,78.50877193,--,89.09657321,87.05882353
Itasca County,,1196,1195,963,918,1183,507,526,163,394,407,394,345,429,189,318,354,246,438,423,322,83.33333333,81.55893536,76.39751553,87.21227621,87.90123457,82.60869565,88.65671642,85.8490566,83.87096774,--,84.85714286,90.57377049,--,90.02375297,87.46081505
Jackson County,,274,367,342,272,252,33,135,106,130,140,97,108,131,103,91,101,80,55,101,96,90.32258065,81.95488722,68.26923077,92.30769231,80.57553957,80.85106383,89.71962617,89.3129771,85.4368932,--,86.13861386,81.01265823,--,87.87878788,86.45833333
Kanabec County,,541,507,372,493,440,197,204,140,173,190,144,134,132,106,165,173,155,147,161,132,78.86597938,68.15920398,75,80.81395349,77.89473684,66.90140845,87.96992481,74.80916031,68.57142857,--,85.79881657,68.83116883,--,86.70886076,80
Kandiyohi County,,1143,897,989,929,814,446,417,280,368,304,225,416,364,209,348,393,188,345,262,207,86.72768879,85.02415459,85.81818182,90.27777778,88.15789474,78.47533632,92.43902439,85.63535912,84.61538462,--,90.23136247,86.17021277,--,87.35632184,87.86407767
Kittson County,,142,226,167,163,151,41,55,46,64,82,80,51,57,59,56,49,58,59,51,41,82.5,69.09090909,76.08695652,90.47619048,90.24390244,76.25,86.2745098,85.96491228,84.74576271,--,97.91666667,77.5862069,--,82.35294118,82.92682927
Koochiching County,,462,411,341,227,252,170,178,114,141,150,120,121,127,93,85,85,57,92,97,63,79.76190476,81.46067416,70.79646018,82.85714286,82,75.83333333,75.6302521,77.16535433,80.64516129,--,91.76470588,71.42857143,--,86.59793814,82.53968254
Lac Qui Parle County,,413,372,387,334,277,162,154,97,123,138,111,115,141,131,108,109,117,84,110,83,92.54658385,72.18543046,76.28865979,90.16393443,77.94117647,80.18018018,86.48648649,80.71428571,80.15267176,--,91.66666667,82.90598291,--,85.18518519,86.58536585
Lake County,,343,363,341,230,183,78,140,125,138,125,100,109,126,106,57,91,82,76,83,24,90.90909091,78.26086957,68.8,86.86131387,80.64516129,72,87.85046729,79.83870968,74.28571429,--,75.28089888,86.41975309,--,83.13253012,91.66666667
Lake of the Woods County,,170,169,167,136,108,64,51,55,60,65,44,54,59,54,45,46,45,26,41,41,70.3125,78.43137255,71.69811321,86.44067797,80,84.09090909,88.88888889,86.20689655,79.62962963,--,91.11111111,73.33333333,--,78.04878049,87.80487805
Le Sueur County,MinneapolisStPaulBloomingtonMNWI,946,644,807,768,673,361,332,253,236,231,177,286,287,234,280,282,206,282,226,165,83.7535014,68.69300912,58.73015873,82.17391304,75.10917031,71.59090909,85.81560284,79.44250871,74.56896552,--,79.71530249,77.94117647,--,87.05357143,80
Lincoln County,,282,162,198,224,159,61,115,106,47,59,56,42,86,70,67,82,75,38,58,63,77.04918033,76.99115044,57.14285714,76.59574468,74.13793103,73.21428571,90.47619048,75,62.85714286,--,84.14634146,68,--,89.65517241,72.58064516
Lyon County,,1018,903,898,854,751,343,372,303,319,317,267,266,363,269,244,321,289,251,279,221,80.23952096,73.98373984,69.30693069,89.71061093,80.89171975,69.92481203,86.53846154,86.4265928,79.40074906,--,87.06624606,84.66898955,--,88.48920863,82.19178082
McLeod County,,1239,1019,1100,1056,659,466,455,318,349,407,263,355,417,328,336,436,284,214,242,203,83.70044053,76.44444444,63.09148265,86.62790698,81.18811881,81.25,90.25787966,82.21153846,77.67584098,--,87.96296296,85.66308244,--,91.73553719,90.64039409
Mahnomen County,,0,201,130,205,177,0,0,0,79,69,53,76,32,22,82,74,49,81,54,42,--,--,--,70.88607595,71.01449275,71.69811321,79.72972973,68.75,54.54545455,--,77,76,--,82.69230769,80.95238095
Marshall County,,377,197,280,270,283,136,127,114,62,70,65,89,95,96,101,86,83,90,112,81,84.44444444,77.77777778,84.07079646,91.93548387,85.50724638,84.375,91.95402299,89.36170213,85.41666667,--,84.88372093,86.74698795,--,87.5,88.88888889
Martin County,,885,743,495,618,503,281,339,265,230,260,253,167,189,139,196,244,178,171,177,155,80.9352518,75.22123894,72.62357414,87.71929825,74.70817121,75.3968254,88.55421687,84.12698413,83.33333333,--,87.55186722,82.48587571,--,85.05747126,87.5
Meeker County,,1196,1120,1176,1082,1072,447,457,292,379,436,305,436,392,348,395,422,265,366,384,322,83.94495413,76.8722467,70.54794521,83.9673913,79.90762125,74.58745875,85.74766355,78.40616967,75.36231884,--,84.21052632,82.88973384,--,87.43455497,87.46081505
Mille Lacs County,MinneapolisStPaulBloomingtonMNWI,1133,994,1204,1132,1112,444,428,261,402,354,238,453,432,319,416,447,269,444,379,289,78.7037037,72.19626168,69.88416988,84.17085427,81.81818182,79.23728814,79.95495495,79.86111111,72.87066246,--,82.5,77.52808989,--,86.4,83.09859155
Morrison County,,1156,1129,497,1024,1031,423,444,289,394,462,273,154,188,155,311,395,318,322,367,342,83.25358852,66.5158371,65.38461538,81.60621762,73.53579176,64.70588235,79.59183673,75.2688172,67.32026144,--,84.98727735,81.26984127,--,87.91208791,80.58823529
Mower County,,764,855,1025,1005,1056,125,395,244,349,311,195,427,343,255,348,394,263,365,359,332,81.30081301,74.11167513,73.96694215,86.88046647,80.84415584,68.71794872,88.78281623,85.25073746,80.70866142,--,91.00257069,86.69201521,--,91.66666667,88.41463415
Murray County,,352,319,294,161,124,135,113,104,93,131,95,103,97,94,51,58,52,42,43,39,87.87878788,76.99115044,83.49514563,92.39130435,82.30769231,81.05263158,98.01980198,90.625,76.92307692,--,91.37931034,98.07692308,--,93.02325581,89.74358974
Nicollet County,MankatoNorthMankatoMN,468,415,435,434,292,177,144,147,133,155,127,146,166,123,154,156,124,19,144,129,91.95402299,75.52447552,69.3877551,87.87878788,76.62337662,78.57142857,93.00699301,85.45454545,78.04878049,--,79.87012987,80.64516129,--,85.81560284,86.4
Nobles County,,660,663,687,650,608,211,242,207,229,249,185,242,236,209,233,249,168,192,239,177,86.95652174,78.57142857,70.24390244,82.74336283,80,82.16216216,89.78723404,80.25751073,77.18446602,--,84.55284553,81.92771084,--,87.17948718,85.54913295
Norman County,,264,258,252,235,221,65,103,96,80,93,85,90,93,69,83,78,74,70,76,75,89.0625,71.84466019,66.66666667,88.60759494,85.86956522,66.66666667,88.63636364,78.49462366,85.50724638,--,89.47368421,81.94444444,--,86.66666667,79.72972973
Olmsted County,RochesterMN,3296,3661,2931,3844,3291,1434,1111,751,1402,1500,759,1160,1149,622,1469,1368,1007,1272,1244,775,89.80169972,83.53265869,80.13513514,90.96209913,85.64690027,84.57446809,91.45374449,88.78091873,88.091354,--,89.20118343,86.76767677,--,90.30944625,90.49479167
Otter Tail County,,1216,1111,1401,1488,1049,419,456,341,388,440,283,552,489,360,498,590,400,378,354,317,83.17307692,68.14159292,70.71005917,82.50652742,78.58769932,73.40425532,86.900369,80.69815195,76.25698324,--,88.16466552,81.90954774,--,86.28571429,86.98412698
Pennington County,,405,356,444,438,374,173,145,87,118,158,80,158,129,157,147,161,130,128,130,116,82.63473054,81.37931034,73.56321839,81.57894737,84.17721519,87.5,90.25974026,89.76377953,82.80254777,--,91.25,85.27131783,--,83.84615385,94.82758621
Pine County,,817,806,745,571,719,333,251,233,303,306,197,258,256,231,244,190,137,264,260,195,78.59327217,69.07630522,72.60869565,83.89261745,75.90759076,67.51269036,82.93650794,76.09561753,72.48908297,--,82.88770053,83.08823529,--,82.8125,83.50515464
Pipestone County,,363,332,314,321,224,132,122,109,125,118,89,119,102,93,95,118,108,78,68,78,89.3129771,77.68595041,67.88990826,87.90322581,76.06837607,76.40449438,79.83193277,82.35294118,76.34408602,--,90.5982906,75.92592593,--,89.70588235,87.01298701
Polk County,GrandForksNDMN,1105,1072,766,811,948,360,442,303,326,401,345,269,280,217,282,289,240,306,351,291,85.75418994,84.28246014,74.50331126,84.59119497,83.62720403,78.71720117,86.19402985,84.22939068,81.10599078,--,86.80555556,85.29411765,--,86.16714697,82.69896194
Pope County,,371,392,337,247,223,149,112,110,128,132,132,114,116,107,69,94,84,71,78,74,86.48648649,75.89285714,75.92592593,91.33858268,83.33333333,70.99236641,86.72566372,86.95652174,83.80952381,--,91.39784946,85.71428571,--,90.78947368,86.48648649
Ramsey County,MinneapolisStPaulBloomingtonMNWI,12244,12382,12546,11766,11572,5134,4462,2648,4804,4670,2908,4914,4804,2828,4298,4460,3008,3904,4401,3267,87.64201714,81.81404865,77.91317593,90.40102389,84.65217391,81.13273106,90.43532859,85.82010582,85.84770115,--,88.840712,87.79342723,--,89.50046253,89.8447205
Red Lake County,,220,172,154,144,132,61,88,71,42,65,65,49,53,52,49,53,42,50,47,35,83.05084746,89.77272727,72.85714286,85.71428571,87.5,82.8125,82.9787234,81.13207547,78.84615385,--,78.84615385,80.95238095,--,91.4893617,78.78787879
Redwood County,,513,661,434,414,385,196,174,143,212,244,205,136,154,144,140,155,119,136,151,98,79.47368421,76.1627907,69.01408451,89.80582524,80.08298755,68.1372549,82.70676692,86.92810458,81.11888112,--,85.80645161,82.90598291,--,89.93288591,81.63265306
Renville County,,571,498,350,303,349,166,206,199,161,179,158,104,118,128,78,89,136,126,125,98,86.06060606,82.92682927,73.23232323,87.89808917,83.79888268,79.61783439,91.34615385,87.17948718,86.71875,--,87.5,82.8358209,--,89.51612903,86.73469388
Rice County,,1479,1357,1180,1425,1329,536,567,376,492,549,316,286,522,372,547,534,344,485,506,338,86.39846743,76.55417407,74.66307278,88.63636364,79.77941176,81.21019108,88.29787234,84.21052632,82.43243243,--,88.53383459,86.17647059,--,86.74698795,90
Rock County,,281,256,251,216,234,124,116,41,122,124,10,89,85,77,79,69,68,87,74,73,84.67741935,71.55172414,68.29268293,87.17948718,79.33884298,--,82.95454545,78.82352941,77.63157895,--,81.15942029,80.88235294,--,86.48648649,82.19178082
Roseau County,,758,758,709,675,631,285,256,217,280,249,229,227,254,228,224,220,231,210,222,199,86.33093525,79.13385827,73.14814815,86.23188406,87.44939271,78.60262009,87.27272727,88.04780876,81.14035088,--,84.54545455,85.2173913,--,87.33031674,82.32323232
St. Louis County,DuluthMNWI,4844,5147,4217,4161,4077,1865,1818,1161,1710,1836,1601,1572,1476,1169,1442,1575,1144,1480,1486,1111,85.78431373,80.40838852,78.61471861,89.82748364,85.75342466,79.43396226,89.23476005,87.78156997,86.35193133,--,89.08156712,86.91423519,--,89.29788684,89.19164396
